Entry	ParticleIdx	Alcove	PDG	X	Y	Z	Energy	ImpWt	IsExtra
0	0	1	13	-76.3949	9.52569	23557.6	4.20808	1.76471	1
0	1	1	13	-24.1078	-104.767	23569.1	3.59358	1.76471	1
1	0	1	-13	-75.6765	17.3738	23556.8	7.69983	1.33136	1
1	1	2	-13	-62.1169	12.4807	24455.2	2.2386	1.33136	1
2	0	1	-13	76.4289	-87.5016	23567.4	0.628454	1.66667	1
3	0	1	-13	74.2623	16.1972	23556.9	6.46131	1.76471	1
3	1	2	-13	120.321	39.9417	24452.4	0.642819	1.76471	1
4	0	1	-13	2.65398	-49.5298	23563.6	3.4271	3	1
4	1	1	-13	52.6806	-3.86623	23558.9	2.54083	3	1
4	2	1	-13	-18.7374	-62.5209	23564.9	2.75344	3	1
4	3	1	-13	50.3138	-90.1532	23567.7	1.92975	3	1
4	4	1	-13	56.2541	103.518	23548	0.464982	3	1
4	5	1	-13	4.66196	20.1288	23556.5	2.8075	3	1
5	0	1	-13	40.6568	22.4946	23556.3	3.41532	1	1
5	1	1	-13	74.1411	-103.794	23569.1	24.8633	1	1
5	2	2	-13	81.501	-125.174	24469.2	18.6402	1	1
5	3	1	-13	72.4817	-72.4041	23565.9	26.804	1	1
5	4	2	-13	78.5039	-73.8759	24464	19.5771	1	1
5	5	3	-13	85.1134	-80.6069	24875	16.656	1	1
5	6	1	-13	107.268	-116.472	23570.3	21.1043	1	1
5	7	2	-13	118.013	-119.702	24468.6	15.5147	1	1
5	8	3	-13	124.335	-124.522	24879.5	11.4926	1	1
5	9	1	-13	48.3006	-71.0135	23565.7	19.2118	1	1
5	10	2	-13	40.0591	-57.3784	24462.3	12.1297	1	1
5	11	3	-13	26.1117	-44.2036	24871.3	9.14903	1	1
6	0	1	-13	72.32	50.5008	23553.4	0.0505187	3	-1
6	1	1	-13	62.5876	9.77289	23557.5	1.10363	3	1
6	2	1	-13	39.8914	38.516	23554.6	0.317187	3	1
7	0	1	13	-14.0932	16.4327	23556.9	7.86129	1.57895	-1
7	1	2	13	-32.8234	35.7015	24452.9	1.37318	1.57895	-1
7	2	1	13	-29.2053	26.7211	23555.8	4.99262	1.57895	1
7	3	1	13	-23.8911	9.41994	23557.6	5.21309	1.57895	1
7	4	1	13	-25.0138	15.0374	23557	11.0013	1.57895	1
7	5	2	13	-43.3463	27.0962	24453.7	5.18085	1.57895	1
7	6	3	13	-68.8085	16.6882	24865.2	1.82725	1.57895	1
7	7	1	13	-70.5334	22.5404	23556.2	1.49914	1.57895	1
7	8	1	13	-7.64365	20.8843	23556.4	5.16688	1.57895	1
7	9	1	13	-6.32165	25.6152	23555.9	4.88876	1.57895	1
7	10	1	13	-19.9467	11.88	23557.3	8.7109	1.57895	1
7	11	2	13	-31.6266	-2.87544	24456.8	2.42682	1.57895	1
7	12	1	13	-44.4534	4.40306	23558.1	6.41222	1.57895	1
7	13	2	13	-61.4463	-11.5641	24457.6	0.698788	1.57895	1
7	14	1	13	-23.5832	3.61117	23558.2	12.1959	1.57895	1
7	15	2	13	-30.3695	-17.6009	24458.3	6.57315	1.57895	1
7	16	3	13	-33.145	-34.2124	24870.3	3.97947	1.57895	1
7	17	1	13	-17.6386	13.3497	23557.2	9.60852	1.57895	1
7	18	2	13	-5.11897	31.8044	24453.3	4.00416	1.57895	1
7	19	3	13	29.511	33.5582	24863.4	0.970983	1.57895	1
8	0	1	-13	65.4423	78.7943	23550.5	1.28681	14.0625	1
8	1	1	-13	88.3571	63.6194	23552.1	1.41236	14.0625	1
9	0	1	-13	68.9935	58.4308	23552.6	3.5228	2.72727	-1
9	1	1	-13	85.7371	16.3268	23556.9	2.55736	2.72727	1
9	2	1	-13	71.0015	61.2071	23552.3	3.20586	2.72727	1
10	0	1	-13	-66.8193	17.157	23556.8	0.580661	5.14286	1
11	0	1	-13	18.5439	-15.1489	23560.1	13.2831	1	-1
11	1	2	-13	18.8266	16.6343	24454.8	6.92311	1	-1
11	2	3	-13	1.36399	24.9318	24864.3	3.75308	1	-1
11	3	1	-13	34.3727	-22.3219	23560.8	21.7999	1	1
11	4	2	-13	44.6473	-17.2474	24458.2	15.5946	1	1
11	5	3	-13	54.0685	-15.6843	24868.4	12.1613	1	1
11	6	1	-13	23.2639	-28.0614	23561.4	15.8407	1	1
11	7	2	-13	22.5156	-25.0139	24459	10.1012	1	1
11	8	3	-13	19.3964	-25.912	24869.5	7.11399	1	1
11	9	1	-13	13.437	-22.4677	23560.8	17.1983	1	1
11	10	2	-13	23.3108	-13.48	24457.8	11.2492	1	1
11	11	3	-13	27.1627	-0.653363	24866.9	7.92406	1	1
11	12	1	-13	18.2155	-20.2427	23560.6	22.6039	1	1
11	13	2	-13	23.3455	-19.5737	24458.5	16.1291	1	1
11	14	3	-13	30.5009	-15.3781	24868.4	12.4842	1	1
11	15	1	-13	14.4297	-41.771	23562.8	17.3917	1	1
11	16	2	-13	16.894	-57.9587	24462.4	12.0831	1	1
11	17	3	-13	11.7636	-75.8725	24874.5	9.09493	1	1
11	18	1	-13	9.05426	-30.5014	23561.6	24.7021	1	1
11	19	2	-13	-6.02897	-30.4164	24459.6	17.4829	1	1
11	20	3	-13	-13.809	-34.5914	24870.4	10.291	1	1
11	21	1	-13	25.0518	-33.672	23561.9	27.5367	1	1
11	22	2	-13	24.738	-30.8909	24459.6	21.8101	1	1
11	23	3	-13	22.1097	-30.6342	24870	17.7736	1	1
11	24	1	-13	21.3024	-31.036	23561.7	27.5899	1	1
11	25	2	-13	21.3826	-41.9094	24460.7	20.8573	1	1
11	26	3	-13	20.293	-50.1098	24871.9	17.4438	1	1
11	27	1	-13	18.1534	-15.4156	23560.1	20.1946	1	1
11	28	2	-13	19.3495	-4.60108	24456.9	14.4197	1	1
11	29	3	-13	21.5271	0.8939	24866.8	11.2299	1	1
11	30	1	-13	33.9753	-33.0987	23561.9	14.1224	1	1
11	31	2	-13	62.0935	-25.2152	24459	8.61677	1	1
11	32	3	-13	82.8895	-21.8267	24869.1	5.69815	1	1
12	0	1	13	11.1903	1.11122	23558.4	1.39686	2.72727	-1
12	1	1	13	50.084	-74.4138	23566.1	1.79402	2.72727	1
12	2	1	13	15.7816	-0.753356	23558.6	1.8215	2.72727	1
13	0	1	-13	89.1531	26.5496	23555.8	17.4188	1	1
